alcaldia,pob_3a5_noasiste,pob_6a11_noasiste,pob_12a14_noasiste,pob_15a17_asiste,pob_18a24_asiste,pob_analfabeta,pob_sin_escolaridad,pob_prim_incomp,pob_prim_comp,pob_sec_incomp,pob_sec_comp,pob_educ_posbasica,t_pob_3a5_noasiste,t_pob_6a11_noasiste,t_pob_12a14_noasiste,t_pob_15a17_asiste,t_pob_18a24_asiste,t_pob_analfabeta,t_pob_sin_escolaridad,t_pob_prim_incomp,t_pob_prim_comp,t_pob_sec_incomp,t_pob_sec_comp,t_pob_educ_posbasica
AZCAPOTZALCO,3278,1475,969,13779,21840,3675,4863,10863,30849,7539,60401,234812,23.099147346910012,5.135615055186101,6.18379068283344,84.2700752247569,50.6869662086892,1.0166706319126686,1.3453249749636211,3.005195394412876,8.534223761598344,2.085627182037989,16.70963886752574,68.03719253715343
COYOACAN,3734,1698,1243,19112,34728,5765,8086,14199,35386,9614,78405,361934,20.67438126349593,4.530778877711663,5.9196113915611015,84.49907153594482,54.41810175971919,1.1023113164254903,1.5461039557010432,2.714955486890813,6.766069079450546,1.838269036620063,14.991625110900358,72.33269514403227
CUAJIMALPA DE MORELOS,2080,790,535,6908,9877,2071,3085,5724,13181,3927,29056,88656,26.17010568696527,5.192927101820811,6.733794839521712,82.79002876318312,46.14773629864972,1.392147240913399,2.073768342934735,3.8477309546056477,8.860402116117584,2.639769297473162,19.531738402694216,63.136754997543065
CUAJIMALPA DE MORELOS,8,3,1,22,29,16,23,55,66,34,157,183,19.51219512195122,4,2.7777777777777777,68.75,30.526315789473685,3.0245746691871456,4.3478260869565215,10.396975425330812,12.476370510396976,6.427221172022684,29.678638941398866,36.820925553319924
CUAJIMALPA DE MORELOS,435,194,101,894,1025,389,624,996,2428,684,5633,8820,33.30781010719755,7.501933488012375,8.184764991896271,71.1217183770883,32.6745298055467,1.9603890540744846,3.1446857833996873,5.019402308118732,12.23605301617699,3.4470594164188886,28.387844579952628,47.45507371139567
CUAJIMALPA DE MORELOS,4,2,0,15,23,13,19,25,42,12,101,161,16,4.444444444444445,0,65.21739130434783,39.6551724137931,3.4482758620689653,5.039787798408488,6.631299734748011,11.140583554376658,3.183023872679045,26.790450928381965,45.48022598870056
CUAJIMALPA DE MORELOS,30,31,15,28,37,25,40,43,129,28,298,325,49.18032786885246,23.66412213740458,25.423728813559322,49.122807017543856,24.666666666666668,2.735229759299781,4.3763676148796495,4.704595185995624,14.113785557986871,3.063457330415755,32.60393873085339,37.92298716452742
CUAJIMALPA DE MORELOS,25,6,10,32,22,21,27,70,120,28,189,121,51.02040816326531,5.769230769230769,18.51851851851852,58.18181818181818,22.448979591836736,3.608247422680412,4.639175257731959,12.027491408934708,20.618556701030926,4.810996563573884,32.47422680412371,22.960151802656547
CUAJIMALPA DE MORELOS,7,2,1,21,28,13,12,30,69,28,101,110,21.21212121212121,3.508771929824561,3.571428571428571,65.625,33.734939759036145,3.6111111111111107,3.3333333333333335,8.333333333333332,19.166666666666668,7.777777777777778,28.055555555555557,33.53658536585366
GUSTAVO A. MADERO,12505,3808,2841,40377,59858,14594,25271,37534,94261,24464,195421,550594,29.34412765458172,4.35468746426366,6.041724262594901,81.91722458916615,47.27373242773653,1.5189868147697894,2.630280649311179,3.906650068902924,9.810964516035021,2.5462856952534008,20.339997418742428,60.4064589317178
IZTACALCO,3136,1091,816,13522,20178,3880,5380,11147,30381,8181,61779,207362,23.19012053538416,3.7904318521349407,5.271658375864074,83.55165595650024,47.79704377487209,1.1575006339404246,1.6049879924225474,3.3254277233334824,9.063408958696916,2.440596053161498,18.43021434644471,64.99948279266881
IZTAPALAPA,24183,7206,5831,66351,81960,26774,46418,69624,164649,46664,349081,742921,34.80820439006837,4.588727497341391,7.0750825082508255,78.24687194122434,39.18980950195088,1.823523963123597,3.161437787415818,4.741952357082144,11.21391637425626,3.1781923588257084,23.775213586731468,53.70025421786985
LA MAGDALENA CONTRERAS,2454,819,643,8687,11490,3689,5139,8764,21791,6643,45718,105161,27.628912407115514,4.065726767275615,5.912100036778227,78.25421133231241,41.69690811438525,1.8508205521857142,2.578304911271994,4.3970158089876925,10.932835633689047,3.3328817913173485,22.937330985314848,55.872508182088666
MILPA ALTA,236,54,62,680,836,447,453,815,1613,453,3620,6873,30.256410256410255,3.310852237890864,7.302709069493522,75.63959955506118,39.82848975702716,3.11758962198354,3.159436462547078,5.684195843213837,11.249825638164317,3.159436462547078,25.247593806667595,51.1421980802143
MILPA ALTA,342,126,108,1087,1302,389,484,849,2095,570,6207,10495,29.30591259640103,4.646017699115045,7.515657620041753,77.25657427149964,38.21543880246551,1.8138580621094844,2.2568311106966337,3.9587801921104173,9.768721439895552,2.6578382915228946,28.94246013242563,52.3728728978492
MILPA ALTA,62,24,21,199,252,75,94,157,409,74,1137,1829,31.794871794871792,4.86815415821501,7.865168539325842,75.66539923954373,44.05594405594406,1.9638648860958365,2.461377323906782,4.111023828227284,10.709609845509295,1.937680020947892,29.772191673212884,51.4341957255343
MILPA ALTA,170,27,31,568,671,292,283,614,1166,385,3128,4688,25.03681885125184,1.9593613933236573,4.287690179806362,75.83444592790387,37.21575152523572,2.7503061128379014,2.665536403880569,5.783177922200245,10.982386738249977,3.626259772063672,29.46218329094848,47.50709363599513
MILPA ALTA,266,52,35,751,800,252,368,639,1406,599,3752,6015,31.03850641773629,2.8430836522689993,3.5246727089627394,76.63265306122449,37.365716954694065,1.8927444794952681,2.7640078113264233,4.799459215863002,10.560312453056934,4.499023584197086,28.180862250262884,48.76763418193611
MILPA ALTA,129,29,38,333,393,205,245,359,1030,276,1990,3026,31.93069306930693,3.2222222222222223,9.112709832134293,71.76724137931035,35.56561085972851,2.871550637344166,3.4318532007283937,5.028715506373441,14.427791007143858,3.8660876873511696,27.87505252836532,45.33333333333333
MILPA ALTA,267,41,26,742,790,287,334,582,1479,407,4072,5530,34.36293436293436,2.3563218390804597,3.0303030303030303,80.3030303030303,35.585585585585584,2.238864185973945,2.605507449879086,4.54013573601685,11.537561432249005,3.1749746470083466,31.76534831110071,46.49012189995796
MILPA ALTA,133,26,35,450,616,309,308,456,963,244,2600,4143,28.602150537634408,2.2608695652173916,5.6089743589743595,75.75757575757575,44.832605531295485,3.424961205941033,3.4138771890933275,5.054311682553758,10.6739082243405,2.7045001108401685,28.818443804034583,49.157570004746084
MILPA ALTA,16,4,6,53,37,21,36,44,85,24,296,307,27.586206896551722,3.125,8.21917808219178,72.6027397260274,27.205882352941174,2.5609756097560976,4.390243902439024,5.365853658536586,10.365853658536585,2.9268292682926833,36.09756097560975,41.09772423025435
MILPA ALTA,6,0,0,19,12,7,17,13,35,12,114,94,35.294117647058826,0,0,73.07692307692307,20.689655172413794,2.348993288590604,5.704697986577181,4.3624161073825505,11.74496644295302,4.026845637583892,38.25503355704698,34.55882352941176
MILPA ALTA,7,4,2,5,7,11,7,16,40,10,34,49,36.84210526315789,17.391304347826086,25,71.42857142857143,20,6.918238993710692,4.40251572327044,10.062893081761008,25.157232704402517,6.289308176100629,21.38364779874214,32.23684210526316
MILPA ALTA,56,10,11,130,160,134,117,188,512,93,1164,1122,26.540284360189574,2.141327623126338,5.978260869565218,67.0103092783505,32.1285140562249,4.123076923076923,3.5999999999999996,5.7846153846153845,15.753846153846155,2.8615384615384616,35.815384615384616,36.71465968586388
MILPA ALTA,7,7,2,17,16,9,11,11,37,9,66,62,43.75,17.94871794871795,10.526315789473683,77.27272727272727,33.33333333333333,4.245283018867925,5.188679245283019,5.188679245283019,17.452830188679243,4.245283018867925,31.132075471698112,32.631578947368425
MILPA ALTA,11,1,0,12,13,14,17,24,39,12,53,57,68.75,3.225806451612903,0,70.58823529411765,34.21052631578947,6.363636363636363,7.727272727272727,10.909090909090908,17.727272727272727,5.454545454545454,24.09090909090909,28.078817733990146
MILPA ALTA,18,4,8,47,33,18,30,58,107,27,265,257,27.692307692307693,3.3057851239669422,13.793103448275861,77.04918032786885,25.984251968503933,2.3195876288659796,3.865979381443299,7.474226804123711,13.788659793814434,3.479381443298969,34.149484536082475,35.94405594405594
MILPA ALTA,5,0,0,8,8,3,4,5,18,2,46,51,38.46153846153847,0,0,80,34.78260869565217,2.2388059701492535,2.9850746268656714,3.731343283582089,13.432835820895523,1.4925373134328357,34.32835820895522,41.12903225806452
MILPA ALTA,5,1,0,18,11,8,10,5,22,6,74,75,26.31578947368421,3.4482758620689653,0,94.73684210526315,31.428571428571427,3.9408866995073892,4.926108374384237,2.4630541871921183,10.83743842364532,2.955665024630542,36.45320197044335,40.76086956521739
MILPA ALTA,3,2,0,7,10,4,11,18,23,12,63,40,30,6.666666666666667,0,58.333333333333336,41.66666666666667,2.3255813953488373,6.395348837209303,10.465116279069768,13.372093023255813,6.976744186046512,36.627906976744185,25
MILPA ALTA,9,2,2,12,15,15,25,9,36,9,103,94,64.28571428571429,6.666666666666667,11.11111111111111,85.71428571428571,28.846153846153843,5.190311418685121,8.650519031141869,3.1141868512110724,12.45674740484429,3.1141868512110724,35.6401384083045,34.18181818181818
MILPA ALTA,2,1,1,7,10,6,5,5,13,3,38,81,25,9.090909090909092,11.11111111111111,77.77777777777779,45.45454545454545,4.026845637583892,3.3557046979865772,3.3557046979865772,8.724832214765101,2.013422818791946,25.503355704697988,57.85714285714286
MILPA ALTA,6,2,0,10,12,8,7,16,25,3,69,73,46.15384615384615,7.142857142857142,0,83.33333333333334,27.906976744186046,3.9800995024875623,3.482587064676617,7.960199004975125,12.437810945273633,1.4925373134328357,34.32835820895522,38.62433862433862
MILPA ALTA,0,3,0,8,3,5,6,6,16,6,32,26,0,25,0,66.66666666666666,21.428571428571427,5.319148936170213,6.382978723404255,6.382978723404255,17.02127659574468,6.382978723404255,34.04255319148936,31.70731707317073
MILPA ALTA,6,1,1,21,21,8,12,9,44,10,91,105,30,3.0303030303030303,3.8461538461538463,84,48.837209302325576,2.8469750889679712,4.270462633451958,3.202846975088968,15.658362989323843,3.558718861209965,32.38434163701068,41.015625
MILPA ALTA,6,2,0,20,13,10,2,24,36,7,77,113,37.5,5.714285714285714,0,80,29.545454545454547,3.7735849056603774,0.7547169811320755,9.056603773584905,13.584905660377359,2.6415094339622645,29.056603773584904,47.083333333333336
MILPA ALTA,13,3,1,26,20,13,16,26,70,18,153,143,40.625,5.084745762711865,2.7777777777777777,72.22222222222221,22.727272727272727,3.009259259259259,3.7037037037037033,6.018518518518518,16.203703703703702,4.166666666666666,35.41666666666667,36.11111111111111
MILPA ALTA,7,0,2,18,16,10,16,12,41,12,93,97,38.88888888888889,0,8,75,28.07017543859649,3.546099290780142,5.673758865248227,4.25531914893617,14.539007092198581,4.25531914893617,32.97872340425532,37.5968992248062
MILPA ALTA,69,4,17,163,142,73,80,115,356,111,1060,1211,34.15841584158416,0.9237875288683602,6.666666666666667,73.09417040358744,30.148619957537154,2.4148197155143896,2.6463777704267284,3.804168044988422,11.776381078398941,3.671849156467086,35.06450545815415,43.25
MILPA ALTA,4,0,1,10,2,5,6,11,19,10,41,36,40,0,5.263157894736842,66.66666666666666,15.384615384615385,3.8461538461538463,4.615384615384616,8.461538461538462,14.615384615384617,7.6923076923076925,31.538461538461537,31.30434782608696
MILPA ALTA,4,3,1,8,14,13,16,15,43,6,82,51,21.052631578947366,9.090909090909092,7.6923076923076925,61.53846153846154,33.33333333333333,5.88235294117647,7.239819004524888,6.787330316742081,19.457013574660635,2.7149321266968327,37.10407239819005,24.519230769230766
ALVARO OBREGON,7303,2994,2174,25544,36369,9748,14608,25294,60047,16975,129851,355474,27.767005056841942,5.189088009983015,7.055692587303648,79.825,43.94514258095698,1.5667844273071816,2.3479264376388294,4.065474487516194,9.651282776622317,2.7283715278559098,20.870796539830206,60.23288362935174
TLAHUAC,4075,1313,923,12520,16226,3972,5301,10667,26172,7949,62502,134520,31.054717268709037,4.510477499141189,6.08477816599644,79.91319333631199,42.216729543384936,1.5536380633502571,2.0734731555437342,4.172370901751559,10.237113644008792,3.1092318644439056,24.447504087491883,56.05210195382326
TLAHUAC,176,40,36,589,655,222,238,487,1147,349,3224,5031,30.034129692832767,3.1645569620253164,5.217391304347826,80.46448087431693,39.434075857916916,2.0485374181046416,2.1961797545446156,4.493863615391714,10.584109993540649,3.2204484635969366,29.749930792654794,49.787234042553195
TLAHUAC,397,98,82,1064,1333,449,497,1127,2255,720,6076,10549,33.58714043993232,3.7735849056603774,5.903527717782577,78.00586510263929,40.138512496236075,2.052852962692026,2.272311631309437,5.152706656912948,10.309985369422092,3.2918800292611556,27.7798098024872,51.43846303881412
TLAHUAC,72,17,11,208,200,56,84,180,379,131,1037,1757,33.02752293577982,3.171641791044776,4.263565891472868,77.90262172284645,37.664783427495294,1.506186121570737,2.2592791823561056,4.8413125336202265,10.19365250134481,3.523399677245831,27.891339429800972,50.91277890466531
TLAHUAC,142,38,31,494,556,152,208,431,1028,287,2513,4150,27.203065134099617,3.3717834960070983,4.8062015503875966,78.28843106180665,38.88111888111888,1.702890432444544,2.3302711180820075,4.828590634102622,11.516916872059154,3.215326013892001,28.15370826798118,50.03013863773358
TLAHUAC,16,2,4,35,31,21,29,53,109,37,189,183,45.714285714285715,1.9801980198019802,8.88888888888889,66.0377358490566,23.846153846153847,3.3333333333333335,4.603174603174604,8.412698412698413,17.3015873015873,5.873015873015873,30,31.715771230502597
TLAHUAC,93,32,24,77,60,92,127,234,389,158,705,441,54.385964912280706,7.600950118764846,12.307692307692308,46.3855421686747,15.113350125944585,4.420951465641519,6.102835175396444,11.244593945218645,18.692936088419028,7.592503604036521,33.87794329649207,23.028720626631856
TLAHUAC,34,9,7,66,64,43,38,89,149,37,358,317,44.15584415584416,4.477611940298507,8.536585365853659,69.47368421052632,32.82051282051282,4.2198233562316,3.729146221786065,8.73405299313052,14.622178606476938,3.631010794896958,35.13248282630029,34.307359307359306
TLAHUAC,7,2,1,22,11,9,7,22,45,16,85,121,53.84615384615385,4.761904761904762,3.571428571428571,78.57142857142857,20.754716981132077,2.903225806451613,2.258064516129032,7.096774193548387,14.516129032258066,5.161290322580645,27.419354838709676,42.90780141843972
TLAHUAC,4,1,4,7,10,7,10,10,30,9,63,71,23.52941176470588,3.4482758620689653,23.52941176470588,70,23.809523809523807,3.5532994923857872,5.0761421319796955,5.0761421319796955,15.228426395939088,4.568527918781726,31.979695431472084,37.967914438502675
TLAHUAC,2,5,2,10,9,9,10,14,39,10,62,66,13.333333333333334,16.129032258064516,16.666666666666664,71.42857142857143,22.5,4.368932038834951,4.854368932038835,6.796116504854369,18.932038834951456,4.854368932038835,30.097087378640776,34.375
TLAHUAC,4,0,0,11,13,3,6,12,29,7,63,61,26.666666666666668,0,0,73.33333333333333,30.952380952380953,1.639344262295082,3.278688524590164,6.557377049180328,15.846994535519126,3.825136612021858,34.42622950819672,36.30952380952381
TLALPAN,4747,1671,1358,20887,33634,6834,9745,17246,40660,12803,89332,309959,23.885478514642248,3.6755972020588628,5.603234857237168,81.77511549604573,49.99256815006392,1.381052461401665,1.969323417670358,3.4851669226416617,8.216797348637945,2.587300945760246,18.052703904292297,66.047372884606375
TLALPAN,52,8,12,109,92,84,86,161,471,98,727,759,29.545454545454547,2.312138728323699,7.5,69.87179487179486,23.232323232323232,3.532380151387721,3.616484440706476,6.770395290159797,19.806560134566865,4.121110176619007,30.571909167367533,34.15841584158416
TLALPAN,540,174,155,1383,1451,705,937,1755,3891,1271,7993,11648,32.58901629450815,4.464973056197074,8.14503415659485,71.03235747303543,31.778361804643012,2.477335020029517,3.292571508890294,6.1669829222011385,13.672780940333123,4.466230936819173,28.087005411483588,43.93647919731432
