alcaldia,pob_3a5_noasiste,pob_6a11_noasiste,pob_12a14_noasiste,pob_15a17_asiste,pob_18a24_asiste,pob_analfabeta,pob_sin_escolaridad,pob_prim_incomp,pob_prim_comp,pob_sec_incomp,pob_sec_comp,pob_educ_posbasica,t_ninos_noasisten
ALVARO OBREGON,7303,2994,2174,25544,36369,9748,14608,25294,60047,16975,129851,355474,12471
AZCAPOTZALCO,3278,1475,969,13779,21840,3675,4863,10863,30849,7539,60401,234812,5722
BENITO JUAREZ,1755,1162,669,9600,20575,1350,2153,4193,11067,3414,23731,329366,3586
COYOACAN,3734,1698,1243,19112,34728,5765,8086,14199,35386,9614,78405,361934,6675
CUAJIMALPA DE MORELOS,2589,1028,663,7920,11041,2548,3830,6943,16035,4741,35535,98376,4280
CUAUHTEMOC,4345,1844,1368,14928,24049,4392,6077,12077,33320,10440,70521,316409,7557
GUSTAVO A. MADERO,12505,3808,2841,40377,59858,14594,25271,37534,94261,24464,195421,550594,19154
IZTACALCO,3136,1091,816,13522,20178,3880,5380,11147,30381,8181,61779,207362,5043
IZTAPALAPA,24183,7206,5831,66351,81960,26774,46418,69624,164649,46664,349081,742921,37220
LA MAGDALENA CONTRERAS,2454,819,643,8687,11490,3689,5139,8764,21791,6643,45718,105161,3916
MIGUEL HIDALGO,2641,1288,792,11201,19704,2598,3430,7541,20905,5885,44286,254465,4721
MILPA ALTA,1865,433,411,5429,6235,2651,3020,5101,11778,3410,30520,46743,2709
TLAHUAC,5022,1557,1125,15103,19168,5035,6555,13326,31771,9710,76877,157267,7704
TLALPAN,6204,2033,1746,24332,37295,8899,12364,21853,50920,15993,109471,337140,9983
VENUSTIANO CARRANZA,3965,1682,1166,14301,20106,3955,5055,12174,33698,10067,68851,222921,6813
XOCHIMILCO,5046,1415,1247,15768,20982,6666,8782,15112,35606,10838,79216,186732,7708
